Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM10,PM25
01/01/2021,38,PM2.5,,40-115-9007,AQS,.,7,38
02/01/2021,58,PM2.5,,40-115-9007,AQS,.,10,58
03/01/2021,49,PM2.5,,40-115-9007,AQS,20,8,49
04/01/2021,60,PM2.5,,40-115-9007,AQS,26,22,60
05/01/2021,68,PM2.5,,40-115-9007,AQS,26,20,68
06/01/2021,55,PM2.5,,40-115-9007,AQS,21,7,55
07/01/2021,44,PM2.5,,40-115-9007,AQS,30,18,44
08/01/2021,136,PM2.5,,40-115-9007,AQS,44,59,136
09/01/2021,65,PM2.5,,40-115-9007,AQS,51,32,65
10/01/2021,67,PM2.5,,40-115-9007,AQS,37,29,67
11/01/2021,47,PM2.5,,40-115-9007,AQS,23,37,47
12/01/2021,48,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,.,48
01/02/2021,58,PM2.5,,40-115-9007,AQS,.,11,58
02/02/2021,67,PM2.5,,40-115-9007,AQS,.,16,67
03/02/2021,65,PM2.5,,40-115-9007,AQS,24,17,65
04/02/2021,71,PM2.5,,40-115-9007,AQS,28,22,71
05/02/2021,59,PM2.5,,40-115-9007,AQS,19,13,59
06/02/2021,60,PM2.5,,40-115-9007,AQS,24,9,60
07/02/2021,71,PM2.5,,40-115-9007,AQS,45,30,71
08/02/2021,165,PM2.5,,40-115-9007,AQS,49,76,165
09/02/2021,72,PM2.5,,40-115-9007,AQS,51,36,72
10/02/2021,60,PM2.5,,40-115-9007,AQS,36,21,60
11/02/2021,56,PM2.5,,40-115-9007,AQS,26,36,56
12/02/2021,52,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,.,52
01/03/2021,56,PM2.5,,40-115-9007,AQS,.,9,56
02/03/2021,61,PM2.5,,40-115-9007,AQS,.,15,61
03/03/2021,54,PM2.5,,40-115-9007,AQS,27,18,54
04/03/2021,96,PM2.5,,40-115-9007,AQS,32,33,96
05/03/2021,56,PM2.5,,40-115-9007,AQS,21,15,56
06/03/2021,63,PM2.5,,40-115-9007,AQS,27,15,63
07/03/2021,88,PM2.5,,40-115-9007,AQS,46,39,88
08/03/2021,152,PM2.5,,40-115-9007,AQS,51,64,152
09/03/2021,87,PM2.5,,40-115-9007,AQS,47,56,87
10/03/2021,58,PM2.5,,40-115-9007,AQS,38,21,58
11/03/2021,56,PM2.5,,40-115-9007,AQS,24,36,56
12/03/2021,54,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,.,54
01/04/2021,56,PM2.5,,40-115-9007,AQS,.,11,56
02/04/2021,58,PM2.5,,40-115-9007,AQS,.,15,58
03/04/2021,107,PM2.5,,40-115-9007,AQS,30,29,107
04/04/2021,72,PM2.5,,40-115-9007,AQS,26,24,72
05/04/2021,38,PM2.5,,40-115-9007,AQS,16,11,38
06/04/2021,61,PM2.5,,40-115-9007,AQS,26,16,61
07/04/2021,94,PM2.5,,40-115-9007,AQS,47,43,94
08/04/2021,135,PM2.5,,40-115-9007,AQS,64,62,135
09/04/2021,71,PM2.5,,40-115-9007,AQS,37,36,71
10/04/2021,61,PM2.5,,40-115-9007,AQS,46,30,61
11/04/2021,66,PM2.5,,40-115-9007,AQS,31,48,66
12/04/2021,47,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,.,47
01/05/2021,46,PM2.5,,40-115-9007,AQS,.,9,46
02/05/2021,49,PM2.5,,40-115-9007,AQS,.,14,49
03/05/2021,79,PM2.5,,40-115-9007,AQS,.,20,79
04/05/2021,65,PM2.5,,40-115-9007,AQS,23,22,65
05/05/2021,28,Ozone,QUAPAW SHELTER,40-115-9004,AQS,28,12,17
06/05/2021,70,PM2.5,,40-115-9007,AQS,22,14,70
07/05/2021,95,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,48,38,95
08/05/2021,133,PM2.5,,40-115-9007,AQS,50,62,133
09/05/2021,59,PM2.5,,40-115-9007,AQS,45,24,59
10/05/2021,63,PM2.5,,40-115-9007,AQS,40,32,63
11/05/2021,66,PM2.5,,40-115-9007,AQS,36,45,66
12/05/2021,56,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,.,56
01/06/2021,37,PM2.5,,40-115-9007,AQS,.,6,37
02/06/2021,53,PM2.5,,40-115-9007,AQS,.,12,53
03/06/2021,68,PM2.5,,40-115-9007,AQS,26,16,68
04/06/2021,67,PM2.5,,40-115-9007,AQS,20,25,67
05/06/2021,17,PM10,,40-115-9007,AQS,.,17,7
06/06/2021,46,PM2.5,,40-115-9007,AQS,22,6,46
07/06/2021,84,PM2.5,,40-115-9007,AQS,50,52,84
08/06/2021,106,PM2.5,,40-115-9007,AQS,58,54,106
09/06/2021,93,Ozone,QUAPAW SHELTER,40-115-9004,AQS,93,39,78
10/06/2021,62,PM2.5,,40-115-9007,AQS,31,25,62
11/06/2021,73,PM2.5,,40-115-9007,AQS,42,47,73
12/06/2021,24,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,.,24
01/07/2021,56,PM2.5,,40-115-9007,AQS,.,9,56
02/07/2021,59,PM2.5,,40-115-9007,AQS,.,12,59
03/07/2021,73,PM2.5,,40-115-9007,AQS,24,18,73
04/07/2021,52,PM2.5,,40-115-9007,AQS,19,18,52
05/07/2021,31,PM2.5,,40-115-9007,AQS,19,19,31
06/07/2021,48,PM2.5,,40-115-9007,AQS,23,9,48
07/07/2021,84,PM2.5,,40-115-9007,AQS,49,45,84
08/07/2021,97,PM2.5,,40-115-9007,AQS,54,51,97
09/07/2021,97,Ozone,QUAPAW SHELTER,40-115-9004,AQS,97,51,87
10/07/2021,68,PM2.5,,40-115-9007,AQS,51,31,68
11/07/2021,73,PM2.5,,40-115-9007,AQS,48,48,73
